Date,Open,High,Low,Close,Adj Close,Volume
2008-07-14,43.080002,43.080002,43.080002,43.080002,23.631618,0
2008-07-15,42.259998,42.259998,42.259998,42.259998,23.181801,0
2008-07-16,43.709999,43.709999,43.709999,43.709999,23.977203,0
2008-07-17,44.709999,44.709999,44.709999,44.709999,24.525753,0
2008-07-18,45.029999,45.029999,45.029999,45.029999,24.701290,0
2008-07-21,45.029999,45.029999,45.029999,45.029999,24.701290,0
2008-07-22,45.840000,45.840000,45.840000,45.840000,25.145617,0
2008-07-23,46.169998,46.169998,46.169998,46.169998,25.326645,0
2008-07-24,44.660000,44.660000,44.660000,44.660000,24.498335,0
2008-07-25,44.680000,44.680000,44.680000,44.680000,24.509296,0
2008-07-28,43.709999,43.709999,43.709999,43.709999,23.977203,0
2008-07-29,44.950001,44.950001,44.950001,44.950001,24.657408,0
2008-07-30,45.849998,45.849998,45.849998,45.849998,25.151104,0
2008-07-31,45.160000,45.160000,45.160000,45.160000,24.772602,0
2008-08-01,45.080002,45.080002,45.080002,45.080002,24.728718,0
2008-08-04,44.490002,44.490002,44.490002,44.490002,24.405073,0
2008-08-05,45.959999,45.959999,45.959999,45.959999,25.211447,0
2008-08-06,45.990002,45.990002,45.990002,45.990002,25.227894,0
2008-08-07,44.880001,44.880001,44.880001,44.880001,24.619005,0
2008-08-08,45.919998,45.919998,45.919998,45.919998,25.189499,0
2008-08-11,46.410000,46.410000,46.410000,46.410000,25.458294,0
2008-08-12,45.509998,45.509998,45.509998,45.509998,24.964592,0
2008-08-13,45.180000,45.180000,45.180000,45.180000,24.783573,0
2008-08-14,45.470001,45.470001,45.470001,45.470001,24.942654,0
2008-08-15,45.669998,45.669998,45.669998,45.669998,25.052368,0
2008-08-18,44.830002,44.830002,44.830002,44.830002,24.591579,0
2008-08-19,44.290001,44.290001,44.290001,44.290001,24.295366,0
2008-08-20,44.590000,44.590000,44.590000,44.590000,24.459938,0
2008-08-21,44.709999,44.709999,44.709999,44.709999,24.525753,0
2008-08-22,45.250000,45.250000,45.250000,45.250000,24.821974,0
2008-08-25,44.349998,44.349998,44.349998,44.349998,24.328276,0
2008-08-26,44.580002,44.580002,44.580002,44.580002,24.454441,0
2008-08-27,45.020000,45.020000,45.020000,45.020000,24.695805,0
2008-08-28,45.919998,45.919998,45.919998,45.919998,25.189499,0
2008-08-29,45.490002,45.490002,45.490002,45.490002,24.953629,0
2008-09-02,45.439999,45.439999,45.439999,45.439999,24.926195,0
2008-09-03,45.549999,45.549999,45.549999,45.549999,24.986538,0
2008-09-04,44.029999,44.029999,44.029999,44.029999,24.152733,0
2008-09-05,44.369999,44.369999,44.369999,44.369999,24.339247,0
2008-09-08,45.380001,45.380001,45.380001,45.380001,24.893282,0
2008-09-09,43.529999,43.529999,43.529999,43.529999,23.878460,0
2008-09-10,43.650002,43.650002,43.650002,43.650002,23.944294,0
2008-09-11,44.150002,44.150002,44.150002,44.150002,24.218554,0
2008-09-12,44.220001,44.220001,44.220001,44.220001,24.256960,0
2008-09-15,41.490002,41.490002,41.490002,41.490002,22.759420,0
2008-09-16,42.330002,42.330002,42.330002,42.330002,23.220198,0
2008-09-17,40.189999,40.189999,40.189999,40.189999,22.046297,0
2008-09-18,42.180000,42.180000,42.180000,42.180000,23.137915,0
2008-09-19,44.549999,44.549999,44.549999,44.549999,24.437988,0
2008-09-22,42.650002,42.650002,42.650002,42.650002,23.395746,0
2008-09-23,41.930000,41.930000,41.930000,41.930000,23.000776,0
2008-09-24,41.750000,41.750000,41.750000,41.750000,22.902048,0
2008-09-25,42.689999,42.689999,42.689999,42.689999,23.417677,0
2008-09-26,42.830002,42.830002,42.830002,42.830002,23.494478,0
2008-09-29,38.700001,38.700001,38.700001,38.700001,21.228956,0
2008-09-30,40.860001,40.860001,40.860001,40.860001,22.413828,0
2008-10-01,40.910000,40.910000,40.910000,40.910000,22.441259,0
2008-10-02,39.220001,39.220001,39.220001,39.220001,21.514206,0
2008-10-03,38.189999,38.189999,38.189999,38.189999,21.090080,0
2008-10-06,36.750000,36.750000,36.750000,36.750000,20.294857,0
2008-10-07,34.380001,34.380001,34.380001,34.380001,18.986046,0
2008-10-08,33.930000,33.930000,33.930000,33.930000,18.737535,0
2008-10-09,31.090000,31.090000,31.090000,31.090000,17.169174,0
2008-10-10,30.860001,30.860001,30.860001,30.860001,17.042160,0
2008-10-13,34.230000,34.230000,34.230000,34.230000,18.903214,0
2008-10-14,34.560001,34.560001,34.560001,34.560001,19.085453,0
2008-10-15,31.320000,31.320000,31.320000,31.320000,17.296181,0
2008-10-16,32.529999,32.529999,32.529999,32.529999,17.964396,0
2008-10-17,32.200001,32.200001,32.200001,32.200001,17.782164,0
2008-10-20,33.779999,33.779999,33.779999,33.779999,18.654696,0
2008-10-21,32.820000,32.820000,32.820000,32.820000,18.124550,0
2008-10-22,30.580000,30.580000,30.580000,30.580000,16.887524,0
2008-10-23,31.020000,31.020000,31.020000,31.020000,17.130514,0
2008-10-24,29.820000,29.820000,29.820000,29.820000,16.467823,0
2008-10-27,28.809999,28.809999,28.809999,28.809999,15.910060,0
2008-10-28,31.900000,31.900000,31.900000,31.900000,17.616486,0
2008-10-29,31.709999,31.709999,31.709999,31.709999,17.511557,0
2008-10-30,32.520000,32.520000,32.520000,32.520000,17.958878,0
2008-10-31,33.189999,33.189999,33.189999,33.189999,18.328876,0
2008-11-03,33.169998,33.169998,33.169998,33.169998,18.317831,0
2008-11-04,34.669998,34.669998,34.669998,34.669998,19.146202,0
2008-11-05,32.680000,32.680000,32.680000,32.680000,18.047234,0
2008-11-06,30.910000,30.910000,30.910000,30.910000,17.069769,0
